step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
52,86272,3328,0.20415495054917301,0.453125,0.453125,,,,,
53,87872,3392,0.19133998224200846,0.578125,0.578125,,,,,
54,89472,3456,0.20707795854875335,0.40625,0.40625,,,,,
55,91072,3520,0.19730255086947943,0.5625,0.5625,,,,,
56,92672,3584,0.17605012083840846,0.640625,0.640625,,,,,
57,94272,3648,0.19379533361710255,0.546875,0.546875,,,,,
58,95360,3712,0.2623285504100522,0.5,0.5,,,,,
59,96960,3776,0.1790296157296628,0.65625,0.65625,,,,,
60,98560,3840,0.1817655950470377,0.546875,0.546875,,,,,
61,100160,3904,0.1787258401637947,0.59375,0.59375,0.18877853576019937,0.46875,0.46875,,
62,101760,3968,0.1902678782854688,0.515625,0.515625,,,,,
63,103360,4032,0.18057353541107657,0.59375,0.59375,,,,,
64,104960,4096,0.17688615297011742,0.53125,0.53125,,,,,
65,106560,4160,0.18067566062478968,0.515625,0.515625,,,,,
66,108160,4224,0.19118159524697495,0.53125,0.53125,,,,,
67,109248,4288,0.2752779252356504,0.578125,0.578125,,,,,
68,110848,4352,0.17517646363711492,0.6875,0.6875,,,,,
69,112960,4416,0.12859935774704925,0.609375,0.609375,,,,,
70,114560,4480,0.1816097279837777,0.59375,0.59375,,,,,
71,116160,4544,0.1838376964473999,0.59375,0.59375,,,,,
72,117760,4608,0.17021592647888614,0.609375,0.609375,,,,,
73,119360,4672,0.16826764383869586,0.671875,0.671875,,,,,
74,120960,4736,0.1654895172275246,0.65625,0.65625,,,,,
75,122560,4800,0.15711179435583822,0.75,0.75,,,,,
76,124160,4864,0.1741643082083821,0.75,0.75,0.2440071560086608,0.6875,0.6875,,
77,126272,4928,0.13917891180101094,0.65625,0.65625,,,,,
78,128384,4992,0.12958067599479364,0.640625,0.640625,,,,,
79,129984,5056,0.16895346807159514,0.671875,0.671875,,,,,
80,131584,5120,0.147759119254412,0.671875,0.671875,,,,,
81,132672,5184,0.2077831362952793,0.75,0.75,,,,,
82,134272,5248,0.17120358383154252,0.65625,0.65625,,,,,
83,136384,5312,0.11613535875935668,0.75,0.75,,,,,
84,137984,5376,0.16134320364082366,0.796875,0.796875,,,,,
85,140096,5440,0.11778634805153843,0.8125,0.8125,,,,,
86,141696,5504,0.16570730540505188,0.71875,0.71875,,,,,
87,143296,5568,0.14867674501382072,0.734375,0.734375,,,,,
88,144896,5632,0.153501969255467,0.703125,0.703125,,,,,
89,147008,5696,0.11875661328551246,0.625,0.625,,,,,
90,148608,5760,0.17071567869797943,0.640625,0.640625,,,,,
91,149696,5824,0.2319938578826168,0.78125,0.78125,0.14665723720434393,0.8125,0.8125,,
92,151808,5888,0.12376402452496792,0.6875,0.6875,,,,,
93,153408,5952,0.1439039283720073,0.734375,0.734375,,,,,
94,155008,6016,0.1613450655041561,0.703125,0.703125,,,,,
95,156608,6080,0.1407425889917552,0.796875,0.796875,,,,,
